VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
105.356.01.2023,1104848,8430525325791,CC166,,,
105.356.01.2024,1104848,8430525325791,CC166,,,
105.356.02.2023,1104848,8430525325791,CC166,,,
926.080.02.2023,1104848,8430525325791,CC166,,,
926.081.01.2023,1104848,8430525325791,CC166,,,
926.081.01.2024,1104848,8430525325791,CC166,,,
926.081.02.2022,1104848,8430525325791,CC166,,,
926.081.02.2023,1104848,8430525325791,CC166,,,
926.082.01.2022,1104848,8430525325791,CC166,,,
041.106.02.2023,1104848,8430525325791,CC166,,,
041.106.02.2024,1104848,8430525325791,CC166,,,
105.354.01.2023,1104848,8430525325791,CC166,,,
926.080.01.2022,1104848,8430525325791,CC166,,,
926.080.01.2023,1104848,8430525325791,CC166,,,
926.080.02.2022,1104848,8430525325791,CC166,,,
041.105.01.2023,1104848,8430525325791,CC166,,,
041.105.01.2024,1104848,8430525325791,CC166,,,
041.105.02.2023,1104848,8430525325791,CC166,,,
041.105.02.2024,1104848,8430525325791,CC166,,,
041.106.01.2023,1104848,8430525325791,CC166,,,
041.106.01.2024,1104848,8430525325791,CC166,,,
032.152.01.2022,1104848,8430525325791,CC166,,,
032.152.01.2023,1104848,8430525325791,CC166,,,
032.152.02.2022,1104848,8430525325791,CC166,,,
032.152.02.2023,1104848,8430525325791,CC166,,,
032.152.03.2023,1104848,8430525325791,CC166,,,
032.152.03.2024,1104848,8430525325791,CC166,,,
032.152.03.2024,1104799,8430525155107,BDP-86A,,,
926.080.01.2022,1104799,8430525155107,BDP-86A,,,
926.080.01.2023,1104799,8430525155107,BDP-86A,,,
082.001.01.2024,1104799,8430525155107,BDP-86A,,,
084.001.04.2024,1104799,8430525155107,BDP-86A,,,
101.001.01.2024,1104799,8430525155107,BDP-86A,,,
105.356.01.2024,1104404,8430525086722,BDP-015,,,
105.356.01.2023,1104407,8430525119710,SY-310,,,
105.356.01.2024,1104407,8430525119710,SY-310,,,
105.356.02.2023,1104407,8430525119710,SY-310,,,
105.356.02.2024,1104407,8430525119710,SY-310,,,
032.152.03.2023,1104799,8430525155107,BDP-86A,,,
127.002.01.2024,1101252,8430525155541,VP-C01,,,
129.001.01.2023,1101252,8430525155541,VP-C01,,,
129.001.01.2024,1101252,8430525155541,VP-C01,,,
130.001.01.2024,1101252,8430525155541,VP-C01,,,
130.001.02.2024,1101252,8430525155541,VP-C01,,,
105.356.01.2023,1104404,8430525086722,BDP-015,,,
127.001.01.2024,1101252,8430525155541,VP-C01,,,
127.001.02.2023,1101252,8430525155541,VP-C01,,,
127.001.02.2024,1101252,8430525155541,VP-C01,,,
127.002.01.2021,1101252,8430525155541,VP-C01,,,
127.002.01.2022,1101252,8430525155541,VP-C01,,,
127.002.01.2023,1101252,8430525155541,VP-C01,,,
125.001.05.2023,1101252,8430525155541,VP-C01,,,
125.001.05.2024,1101252,8430525155541,VP-C01,,,
125.001.06.2023,1101252,8430525155541,VP-C01,,,
125.001.06.2024,1101252,8430525155541,VP-C01,,,
127.001.01.2022,1101252,8430525155541,VP-C01,,,
127.001.01.2023,1101252,8430525155541,VP-C01,,,
125.001.02.2023,1101252,8430525155541,VP-C01,,,
125.001.02.2024,1101252,8430525155541,VP-C01,,,
125.001.03.2023,1101252,8430525155541,VP-C01,,,
125.001.03.2024,1101252,8430525155541,VP-C01,,,
125.001.04.2023,1101252,8430525155541,VP-C01,,,
125.001.04.2024,1101252,8430525155541,VP-C01,,,
084.002.01.2024,1101252,8430525155541,VP-C01,,,
084.002.02.2024,1101252,8430525155541,VP-C01,,,
084.002.03.2024,1101252,8430525155541,VP-C01,,,
101.001.01.2024,1101252,8430525155541,VP-C01,,,
125.001.01.2023,1101252,8430525155541,VP-C01,,,
125.001.01.2024,1101252,8430525155541,VP-C01,,,
082.001.01.2024,1101252,8430525155541,VP-C01,,,
084.001.01.2024,1101252,8430525155541,VP-C01,,,
084.001.02.2024,1101252,8430525155541,VP-C01,,,
084.001.03.2024,1101252,8430525155541,VP-C01,,,
084.001.04.2024,1101252,8430525155541,VP-C01,,,
084.001.05.2024,1101252,8430525155541,VP-C01,,,
028.001.02.2022,1101252,8430525155541,VP-C01,,,
028.001.02.2023,1101252,8430525155541,VP-C01,,,
028.001.03.2022,1101252,8430525155541,VP-C01,,,
028.001.03.2023,1101252,8430525155541,VP-C01,,,
031.001.01.2023,1101252,8430525155541,VP-C01,,,
031.001.01.2024,1101252,8430525155541,VP-C01,,,
041.106.01.2023,1101252,8430525155541,VP-C01,,,
041.106.01.2024,1101252,8430525155541,VP-C01,,,
041.106.02.2023,1101252,8430525155541,VP-C01,,,
041.106.02.2024,1101252,8430525155541,VP-C01,,,
028.001.01.2022,1101252,8430525155541,VP-C01,,,
028.001.01.2023,1101252,8430525155541,VP-C01,,,
926.082.02.2022,1101252,8430525155541,VP-C01,,,
926.082.02.2023,1101252,8430525155541,VP-C01,,,
041.105.01.2023,1101252,8430525155541,VP-C01,,,
041.105.01.2024,1101252,8430525155541,VP-C01,,,
041.105.02.2023,1101252,8430525155541,VP-C01,,,
041.105.02.2024,1101252,8430525155541,VP-C01,,,
926.081.01.2023,1101252,8430525155541,VP-C01,,,
926.081.01.2024,1101252,8430525155541,VP-C01,,,
926.081.02.2022,1101252,8430525155541,VP-C01,,,
926.081.02.2023,1101252,8430525155541,VP-C01,,,
926.082.01.2022,1101252,8430525155541,VP-C01,,,
926.082.01.2023,1101252,8430525155541,VP-C01,,,
032.152.02.2022,1101252,8430525155541,VP-C01,,,
032.152.02.2023,1101252,8430525155541,VP-C01,,,
926.080.01.2022,1101252,8430525155541,VP-C01,,,
926.080.01.2023,1101252,8430525155541,VP-C01,,,
926.080.02.2022,1101252,8430525155541,VP-C01,,,
926.080.02.2023,1101252,8430525155541,VP-C01,,,
046.001.01.2024,1101201,8430525115019,BDP-079,,,
046.001.02.2024,1101201,8430525115019,BDP-079,,,
032.152.03.2023,1101252,8430525155541,VP-C01,,,
032.152.03.2024,1101252,8430525155541,VP-C01,,,
